DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0020-IND,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,"Bihar, Uttar Pradesh, West Bengal provinces",,,No,No,No,,,°C,,,,2000,1,,2000,1,,275,,,,,,,,,,,56.5142905592776,"[{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70073,""adm1_name"":""Bihar""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",2003-07-01,2023-09-25
2000-0027-IND,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IND,India,Southern Asia,Asia,Etat du Penjab,,,No,No,No,,,,,,,2000,1,30,2000,1,30,18,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0030-IND,No,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,IND,India,Southern Asia,Asia,Bihar State,,,No,No,No,,,,,,,2000,1,9,2000,1,9,10,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0077-IND,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Train,IND,India,Southern Asia,Asia,Pusawar (Near Bhusawal),,,No,No,No,,,,,,,2000,2,19,2000,2,19,18,23,,,23,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0147-IND,No,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,IND,India,Southern Asia,Asia,"Raja Ka Bagh area (Near Dharamsala, Himachal Pradesh)",,,No,No,No,,,,,,,2000,3,8,2000,3,8,22,30,,,30,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0208-IND,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IND,India,Southern Asia,Asia,Near Bhopal,,,No,No,No,,,,,,,2000,4,21,2000,4,21,16,53,,,53,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0209-IND,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IND,India,Southern Asia,Asia,Near Bhopal,,,No,No,No,,,,,,,2000,3,,2000,3,,24,,,,,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0224-IND,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IND,India,Southern Asia,Asia,Almora district (Uttar Pradesh),,,No,No,No,,,,,,,2000,4,27,2000,4,27,53,15,,,15,,,,,,,56.5142905592776,,2005-07-22,2023-09-25
2000-0236-IND,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IND,India,Southern Asia,Asia,Midnapore,,,No,No,No,,,,,,,2000,5,8,2000,5,8,20,19,,,19,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
2000-0243-IND,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IND,India,Southern Asia,Asia,Near Doda (Cachemire Indien),,,No,No,No,,,,,,,2000,5,12,2000,5,12,26,30,,,30,,,,,,,56.5142905592776,,2003-07-01,2023-09-25
